Izveides Datums,Nosaukums,Apraksts,Izpildes Datums,Statuss
2024-01-14 00:33:08,Food,Make dinner,2024-01-14,Nav sākts
2024-01-14 00:33:30,Pârtika,Aizbraukt sapirkt partiku,2024-01-14,Progresā
2024-01-14 00:33:50,PC,Iztîrît datoru no putekïiem,2024-01-19,Aizturēts
2024-01-14 00:34:19,YT,Noskatities jaunos video,2024-01-10,Nepabeigts
2024-01-14 00:34:50,Draugi,Satikties ar draugiem,2024-01-14,Pabeigts
2024-01-15 08:45:22,Exercise,Go for a run,2023-12-21,Nav sākts
2024-01-15 09:15:10,Reading,Read a book,2024-01-14,Progresā
2024-01-15 10:20:45,Coding,Write a new program,2024-01-28,Aizturēts
2024-01-16 14:22:30,Shopping,Buy groceries,2024-01-08,Nepabeigts
2024-01-16 15:05:18,Study,Prepare for exam,2023-12-23,Pabeigts
2024-01-17 18:30:40,Travel,Plan a weekend getaway,2024-01-03,Nav sākts
2024-01-17 19:10:55,Art,Paint a landscape,2024-01-15,Progresā
2024-01-17 20:25:12,Cleaning,Clean the house,2024-02-02,Aizturēts
2024-01-18 22:40:28,Movie,Watch a new release,2024-01-07,Nepabeigts
2024-01-18 23:15:50,Music,Learn a new song,2023-12-20,Pabeigts
2024-01-19 03:55:14,Work,Complete project tasks,2024-01-31,Nav sākts
2024-01-19 04:30:27,Writing,Start a short story,2024-01-12,Progresā
2024-01-19 05:10:40,Photography,Capture scenic shots,2024-01-24,Aizturēts
2024-01-21 13:15:40,DIY,Create a home decor item,2023-12-22,Aizturēts
2024-01-21 14:25:55,Podcast,Record a new episode,2024-01-13,Aizturēts
2024-01-23 21:45:40,Hiking,Take a nature walk,2024-01-20,Nav sākts
2024-01-23 22:30:55,Cooking,Try a new recipe,2024-01-09,Progresā
2024-01-23 23:15:10,Podcasting,Listen to a podcast,2024-01-27,Aizturēts
2024-01-24 02:35:25,Finance,Review budget,2024-01-11,Nepabeigts
2024-01-24 03:20:40,Networking,Connect with professionals,2024-02-01,Pabeigts
2024-01-25 06:45:55,Art,Sketch a portrait,2024-01-16,Nav sākts
2024-01-25 07:30:10,Exercise,Do yoga,2024-01-01,Progresā
2024-01-25 08:15:25,Reading,Start a new book,2023-12-29,Aizturēts
2024-01-26 11:40:40,Coding,Debug code,2024-01-25,Nepabeigts
2024-01-26 12:25:55,Travel,Explore a nearby city,2024-01-14,Pabeigts
2024-01-26 13:10:10,Study,Review notes,2024-01-26,Nav sākts
2024-01-27 16:35:25,Shopping,Order online,2024-01-04,Progresā
2024-01-27 17:20:40,Writing,Edit a draft,2024-01-17,Aizturēts
2024-01-27 18:05:55,Music,Compose a melody,2024-01-30,Nepabeigts
2024-01-28 21:30:10,Work,Attend meeting,2024-01-21,Pabeigts
2024-01-28 22:15:25,Photography,Edit photos,2024-01-23,Nav sākts
2024-01-29 03:55:25,DIY,Build a small project,2024-01-12,Aizturēts
2024-01-14 13:19:24,Projekts,Pabeigts lietojum.aut. projektu,2024-01-19,Progresā
2024-01-14 13:37:23,Emils,Aizsutit projekta video,2024-01-14,Progresā
2024-01-14 13:41:08,nezinu,galax,2024-01-14,Aizturēts
2024-01-15 00:45:17,viktorija,iedot bucu,2024-01-15,Progresā
2024-01-18 13:07:14,dfgdfsg,dfsgsdfgsfg,2024-01-18,Nepabeigts
